Epoch,Train Loss,Val Loss,Accuracy,Precision,Recall,F1-Score
1,1.8704,1.6519,0.5929,0.6529,0.5929,0.5711
2,1.3812,0.9817,0.7810,0.7972,0.7810,0.7742
3,0.9325,0.6807,0.7869,0.8045,0.7869,0.7748
4,0.6836,0.4587,0.8774,0.8840,0.8774,0.8762
5,0.5740,0.3974,0.8714,0.8714,0.8714,0.8655
6,0.4773,0.2997,0.9012,0.9059,0.9012,0.9001
7,0.3976,0.2826,0.8976,0.9183,0.8976,0.8947
8,0.3374,0.2641,0.9119,0.9215,0.9119,0.9121
9,0.3146,0.2067,0.9345,0.9366,0.9345,0.9341
10,0.2852,0.1942,0.9214,0.9357,0.9214,0.9201
11,0.2414,0.1547,0.9429,0.9513,0.9429,0.9424
12,0.2375,0.1308,0.9548,0.9570,0.9548,0.9544
13,0.2074,0.1415,0.9452,0.9497,0.9452,0.9441
14,0.2054,0.1649,0.9321,0.9471,0.9321,0.9306
15,0.2050,0.1219,0.9476,0.9541,0.9476,0.9474
16,0.1675,0.0926,0.9726,0.9728,0.9726,0.9726
17,0.1520,0.0912,0.9595,0.9623,0.9595,0.9592
18,0.1603,0.1150,0.9536,0.9603,0.9536,0.9532
19,0.1253,0.1061,0.9571,0.9617,0.9571,0.9567
20,0.1234,0.0827,0.9679,0.9689,0.9679,0.9677

Final Metrics,Accuracy: 0.9679,Precision: 0.9689,Recall: 0.9679,F1-Score: 0.9677
